"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"87f13dd2-c40d-4116-aa0e-8d1d94fd7089","143438896","OGL","BTO","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-26","26","04","2010","","","","","","NH78","57.837012","-4.106987","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO/JNCC/RSPB partnership)","dr2370","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NH","NH78","","","United Kingdom","Scotland","alive"
"81c50d9f-f0c0-434a-baee-452aae06deee","CI00001100004AWG","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-04","04","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"7a45958d-e266-4dd2-bdfa-b760f67b46e4","157373644","OGL","BTO","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-04","04","04","2010","","","","","","SE08","54.260644","-1.924744","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO/JNCC/RSPB partnership)","dr2370","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","SE","SE08","","","United Kingdom","England","alive"
"74bd028f-b8f3-42fe-9801-aac3635f913b","CI00001100004B10","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-13","13","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"7267dcce-c421-46c1-a48b-7b2d9b8f4a49","CI00001100004B1L","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-16","16","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"6e0c25c0-6c44-4983-b813-3ad45d11e96a","CI00001100004B3W","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-20","20","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"640a0a18-0108-4516-9fc0-bdb049c7c166","CI00001100004B6T","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-25","25","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"4e445f43-0476-41fa-b84a-20638b9f72d0","CI00001100004AX6","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-06","06","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","3","","","","3 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"3cd3cf53-c769-4b13-ac66-c338ddbc9fc3","CI00001100004XVR","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-04","04","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","1","","","","1 Male (Exact)","male","","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
"3b7d144f-57f1-4ae5-b69f-28a9616dae11","CI00001100004B8W","CC-BY","Scottish Wildlife Trust","Pandion haliaetus","(Linnaeus, 1758)","","Osprey","NBNSYS0000000292","species","present","2010-04-29","29","04","2010","","","","","","NO04","56.6","-3.5","7071.1","","LOL Staff and Volunteers","NBN Record Cleaner","2","","","","2 Adult (Exact)","","adult","","Accepted - considered correct","HumanObservation","CI00001100000013","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","dr765","Scottish Wildlife Trust","dp2","SWT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pandion","NO","NO04","","","United Kingdom","Scotland",""
